,titulo,provincia,localidad,distrito,tipovivienda,precio,metros,habitaciones,baños,planta,ascensor,exterior,equipada,amueblada,orientacion,anyoconstruccion,garaje,terraza,calefaccion,aireacondicionado,created_at,updated_at
494,"Alquiler de Piso en calle de Félix López, 2",Madrid,Puerta Bonita Madrid,carabanchel,Piso,1099,85,3.0,2.0,3.0,0.0,1.0,1,1,"este, oeste",,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
495,"Alquiler de Piso en calle Josefa Fernández Buterga, 45",Madrid,Opañel Madrid,carabanchel,Piso,790,65,1.0,1.0,2.0,1.0,1.0,0,0,"norte, este, oeste",,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
496,"Alquiler de Ático en calle Pinar de San José, 23",Madrid,Pau de Carabanchel Madrid,carabanchel,Ático,1700,105,3.0,2.0,7.0,1.0,1.0,1,1,,,1,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
497,"Alquiler de Piso en calle de los Morales, 10",Madrid,Pau de Carabanchel Madrid,carabanchel,Piso,800,50,1.0,1.0,1.0,1.0,1.0,1,0,"norte, este",,1,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
498,"Alquiler de Piso en calle de Alejandro Morán, 44",Madrid,Puerta Bonita Madrid,carabanchel,Piso,900,85,3.0,1.0,3.0,0.0,1.0,1,1,"sur, este",,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
499,"Alquiler de Piso en paseo de Santa María de la Cabeza, 126",Madrid,Comillas Madrid,carabanchel,Piso,900,50,2.0,1.0,1.0,0.0,1.0,1,1,,,0,1,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
500,"Alquiler de Piso en avenida del Manzanares, 152",Madrid,Comillas Madrid,carabanchel,Piso,1390,90,3.0,2.0,3.0,1.0,1.0,1,0,,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
501,"Alquiler de Piso en calle de Argüeso, 52",Madrid,Abrantes Madrid,carabanchel,Piso,1300,80,4.0,1.0,3.0,0.0,1.0,1,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
502,"Alquiler de Piso en calle de Rascón, 22",Madrid,San Isidro Madrid,carabanchel,Piso,1050,85,2.0,2.0,2.0,1.0,1.0,1,0,"norte, sur",,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
503,Alquiler de Ático en Pau de Carabanchel,Madrid,Carabanchel Madrid,carabanchel,Ático,1700,100,3.0,2.0,6.0,1.0,1.0,1,1,,,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
504,Alquiler de Piso en San Isidro,Madrid,Carabanchel Madrid,carabanchel,Piso,680,45,1.0,1.0,0.0,0.0,1.0,1,1,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
505,"Alquiler de Piso en calle zorzal, 1",Madrid,San Isidro Madrid,carabanchel,Piso,900,65,1.0,1.0,0.0,1.0,1.0,1,0,este,,0,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
506,"Alquiler de Piso en camino de las Cruces, 64",Madrid,Buena Vista Madrid,carabanchel,Piso,1100,100,1.0,1.0,1.0,1.0,0.0,1,1,sur,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
507,"Alquiler de Piso en calle San Patricio, 4",Madrid,Opañel Madrid,carabanchel,Piso,1350,85,2.0,1.0,1.0,0.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
508,"Alquiler de Piso en calle Algaba, 17",Madrid,San Isidro Madrid,carabanchel,Piso,1000,70,3.0,1.0,3.0,1.0,1.0,1,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
509,Alquiler de Estudio en Vista Alegre,Madrid,Carabanchel Madrid,carabanchel,Estudio,1200,40,,1.0,0.0,1.0,1.0,0,0,este,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
510,"Alquiler de Piso en calle de María Odiaga, 13",Madrid,Puerta Bonita Madrid,carabanchel,Piso,850,90,2.0,2.0,1.0,1.0,1.0,1,0,norte,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
511,"Alquiler de Piso en calle de los Morales, 28",Madrid,Pau de Carabanchel Madrid,carabanchel,Piso,825,75,1.0,1.0,3.0,1.0,1.0,1,1,,,1,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
512,"Alquiler de Ático en calle San Patricio, 2",Madrid,Opañel Madrid,carabanchel,Ático,1550,85,2.0,1.0,2.0,0.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
513,Alquiler de Piso en calle de la Encomienda,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1900,98,2.0,,3.0,0.0,1.0,0,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
514,Alquiler de Piso en calle de la Encomienda,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1900,98,2.0,2.0,3.0,0.0,1.0,1,1,"sur, este, oeste",,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
515,Alquiler de Piso en calle de Tribulete,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1100,47,2.0,1.0,2.0,1.0,1.0,1,0,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
516,"Alquiler de Piso en calle del Ave María, 20",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1200,65,1.0,1.0,2.0,1.0,1.0,1,1,oeste,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
517,Alquiler de Piso en calle de Argumosa,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1699,42,2.0,1.0,5.0,0.0,1.0,1,1,,1900.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
518,Alquiler de Piso en Calvario,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,850,42,1.0,1.0,5.0,1.0,1.0,1,1,"sur, este, oeste",1968.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
519,Alquiler de Piso en calle de Argumosa,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1157,30,1.0,1.0,5.0,0.0,1.0,1,1,,1900.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
520,Alquiler de Piso en calle del Mesón de Paredes,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,975,50,2.0,1.0,2.0,0.0,0.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
521,Alquiler de Piso en calle del Olivar,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1720,60,2.0,1.0,2.0,0.0,1.0,1,0,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
522,Alquiler de Piso en calle del Marqués de Toca,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2100,2,2.0,2.0,2.0,0.0,1.0,1,1,este,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
523,Alquiler de Piso en calle Bastero,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1180,50,1.0,1.0,1.0,1.0,0.0,1,1,oeste,2015.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
524,Alquiler de Piso en calle del Marqués de Toca,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1900,81,1.0,1.0,1.0,0.0,1.0,1,1,este,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
525,"Alquiler de Piso en atocha, 38",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1210,50,1.0,1.0,5.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
526,"Alquiler de Piso en calle de la Primavera, 9",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1500,85,1.0,1.0,3.0,0.0,1.0,1,0,oeste,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
527,"Alquiler de Piso en calle Tribulete, 9",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,900,60,1.0,1.0,2.0,0.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
528,"Alquiler de Dúplex en calle del Amparo, 85",Madrid,Lavapiés-Embajadores Madrid,centro,Dúplex,790,54,2.0,1.0,0.0,0.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
529,"Alquiler de Ático en olmo, 14",Madrid,Lavapiés-Embajadores Madrid,centro,Ático,2500,150,2.0,2.0,3.0,0.0,1.0,1,1,"este, oeste",1880.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
530,Alquiler de Piso en calle del Conde de Romanones,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,900,40,1.0,1.0,2.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
531,Alquiler de Piso en travesía de los Cabestreros,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,950,45,1.0,1.0,3.0,1.0,0.0,1,1,,1905.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
532,Alquiler de Piso en calle de la Encomienda,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1850,98,2.0,2.0,1.0,0.0,1.0,1,1,"sur, este, oeste",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
533,Alquiler de Piso en Buenavista,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,925,45,1.0,1.0,4.0,0.0,0.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
534,"Alquiler de Piso en plaza General Vara de Rey, 11",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,850,60,1.0,1.0,1.0,1.0,1.0,1,0,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
535,"Alquiler de Piso en calle del Sombrerete, 3",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2655,65,2.0,2.0,1.0,1.0,1.0,1,1,,,1,1,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
536,"Alquiler de Piso en calle del Sombrerete, 3",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2295,55,1.0,1.0,2.0,1.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
537,"Alquiler de Ático en plaza General Vara del Rey, 11",Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1300,68,1.0,1.0,6.0,1.0,1.0,1,0,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
538,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1850,133,3.0,2.0,1.0,1.0,1.0,1,0,,1890.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
539,"Alquiler de Piso en calle del Sombrerete, 3",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2970,90,2.0,2.0,4.0,1.0,1.0,1,1,,,1,1,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
540,Alquiler de Ático en calle de la Ribera de Curtidores,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1375,62,1.0,1.0,,1.0,1.0,0,0,,1860.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
541,Alquiler de Piso en calle del Amparo,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,900,49,1.0,1.0,,0.0,1.0,1,1,,1900.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
542,"Alquiler de Piso en calle de la Sombrerería, 8",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1000,39,1.0,1.0,3.0,1.0,0.0,1,0,"sur, oeste",1880.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
543,"Alquiler de Piso en calle Atocha, 42",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1000,76,1.0,1.0,1.0,1.0,0.0,1,0,"norte, este",2001.0,1,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
544,Alquiler de Ático en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,2560,105,2.0,2.0,6.0,1.0,1.0,1,1,,2021.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
545,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2232,95,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
546,Alquiler de Ático en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1920,65,2.0,1.0,4.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
547,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2328,100,2.0,2.0,4.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
548,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2950,115,3.0,2.0,1.0,0.0,1.0,1,1,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
549,Alquiler de Ático en calle de Luis Vélez de Guevara,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1390,80,2.0,1.0,4.0,1.0,1.0,0,0,sur,1900.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
550,"Alquiler de Piso en Carnero, 4",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1500,30,1.0,1.0,2.0,1.0,0.0,1,1,oeste,1900.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
551,Alquiler de Ático en Lavapiés-Embajadores,Madrid,Centro Madrid,centro,Ático,950,42,1.0,1.0,4.0,0.0,1.0,1,1,,1900.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
552,"Alquiler de Piso en calle del Salitre, 28",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1100,26,1.0,1.0,1.0,0.0,0.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
553,"Alquiler de Piso en plaza del General Vara de Rey, Madrid, 11",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,850,60,1.0,1.0,1.0,1.0,1.0,1,0,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
554,"Alquiler de Piso en plaza General Vara del Rey, 11",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,825,55,1.0,1.0,4.0,1.0,1.0,1,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
555,Alquiler de Ático en calle de la Ribera de Curtidores,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1375,55,1.0,1.0,7.0,1.0,1.0,1,1,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
556,"Alquiler de Piso en calle del Amparo, 30",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1300,72,2.0,1.0,3.0,1.0,1.0,1,1,este,1992.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
557,Alquiler de Ático en calle de la Ribera de Curtidores,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1375,55,1.0,1.0,7.0,1.0,1.0,1,1,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
558,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1800,60,1.0,1.0,4.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
559,Alquiler de Piso en calle de Toledo,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,950,54,1.0,1.0,,0.0,1.0,1,1,,1860.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
560,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1608,55,1.0,1.0,3.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
561,Alquiler de Piso en calle de Toledo,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1700,115,4.0,1.0,,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
562,Alquiler de Piso en plaza de Cascorro,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2600,94,2.0,2.0,5.0,1.0,1.0,1,1,este,1860.0,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
563,"Alquiler de Piso en calle de Santa Isabel, 20",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1000,50,1.0,1.0,4.0,1.0,0.0,1,1,,1880.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
564,Alquiler de Ático en calle de la Cabeza,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,1300,95,2.0,1.0,5.0,1.0,0.0,1,1,"sur, este, oeste",1865.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
565,Alquiler de Piso en calle del Doctor Drumen,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2700,110,4.0,2.0,1.0,1.0,1.0,1,1,sur,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
566,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2990,115,3.0,2.0,1.0,0.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
567,"Alquiler de Piso en calle de Tribulete, 2",Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1290,80,2.0,2.0,1.0,1.0,1.0,1,1,"sur, este",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
568,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2010,65,1.0,1.0,5.0,1.0,1.0,1,1,,,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
569,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2400,95,2.0,1.0,5.0,1.0,1.0,1,1,,2022.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
570,Alquiler de Piso en calle del Mesón de Paredes,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2450,130,2.0,3.0,2.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
571,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2900,90,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
572,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2800,95,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
573,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2400,95,2.0,1.0,5.0,1.0,1.0,1,1,,2022.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
574,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2910,90,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
575,Alquiler de Piso en calle del Mesón de Paredes,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2450,130,2.0,3.0,2.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
576,Alquiler de Ático en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Ático,3510,105,2.0,2.0,6.0,1.0,1.0,1,1,,2022.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
577,Alquiler de Piso en calle del Doctor Fourquet,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,1500,76,2.0,1.0,4.0,1.0,1.0,1,0,,1910.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
578,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2900,90,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
579,Alquiler de Piso en calle de Atocha,Madrid,Lavapiés-Embajadores Madrid,centro,Piso,2900,90,2.0,2.0,5.0,1.0,1.0,1,1,,2022.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
580,Alquiler de Piso en calle de Clara del Rey,Madrid,Prosperidad Madrid,chamartin,Piso,1600,90,2.0,1.0,2.0,1.0,1.0,0,0,,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
581,Alquiler de Piso en calle de Clara del Rey,Madrid,Prosperidad Madrid,chamartin,Piso,1600,90,2.0,1.0,2.0,1.0,1.0,0,0,,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
582,Alquiler de Piso en calle de Canillas,Madrid,Prosperidad Madrid,chamartin,Piso,950,50,1.0,1.0,3.0,1.0,1.0,1,1,"sur, este",,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
583,Alquiler de Piso en calle de Quintiliano,Madrid,Prosperidad Madrid,chamartin,Piso,945,60,1.0,1.0,4.0,1.0,0.0,1,1,"sur, oeste",,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
584,Alquiler de Dúplex en calle del Corazón de María,Madrid,Prosperidad Madrid,chamartin,Dúplex,3100,120,3.0,2.0,12.0,1.0,1.0,1,1,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
585,"Alquiler de Piso en calle de López de Hoyos, 140",Madrid,Prosperidad Madrid,chamartin,Piso,870,55,1.0,1.0,7.0,1.0,1.0,1,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
586,Alquiler de Piso en calle de Canillas,Madrid,Prosperidad Madrid,chamartin,Piso,1486,30,1.0,1.0,0.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
587,Alquiler de Piso en calle del Corazón de María,Madrid,Prosperidad Madrid,chamartin,Piso,1300,60,1.0,1.0,10.0,1.0,1.0,1,1,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
588,Alquiler de Piso en calle de Martín Machío,Madrid,Prosperidad Madrid,chamartin,Piso,1400,106,2.0,2.0,1.0,1.0,1.0,1,1,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
589,"Alquiler de Piso en calle de Martín Machío, 10",Madrid,Prosperidad Madrid,chamartin,Piso,1800,68,3.0,2.0,3.0,0.0,1.0,1,1,,1960.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
590,Alquiler de Piso en calle de López de Hoyos,Madrid,Prosperidad Madrid,chamartin,Piso,1490,139,3.0,2.0,1.0,1.0,1.0,1,0,norte,1970.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
591,Alquiler de Piso en cartagena,Madrid,Prosperidad Madrid,chamartin,Piso,1300,68,2.0,1.0,3.0,1.0,1.0,1,0,"norte, oeste",1950.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
592,Alquiler de Ático en calle de Santa Hortensia,Madrid,Prosperidad Madrid,chamartin,Ático,1000,67,,1.0,7.0,1.0,1.0,1,0,"sur, este",,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
593,"Alquiler de Piso en calle Zabaleta, 3",Madrid,Prosperidad Madrid,chamartin,Piso,2700,110,4.0,2.0,3.0,0.0,1.0,1,1,"sur, este",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
594,Alquiler de Piso en pasaje Hoyo de Manzanares,Madrid,Prosperidad Madrid,chamartin,Piso,1200,80,3.0,1.0,2.0,0.0,1.0,1,0,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
595,Alquiler de Piso en calle del Padre Claret,Madrid,Prosperidad Madrid,chamartin,Piso,1500,95,2.0,1.0,8.0,1.0,1.0,1,1,,,1,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
596,Alquiler de Estudio en calle Baeza,Madrid,Prosperidad Madrid,chamartin,Estudio,650,43,,1.0,5.0,1.0,0.0,1,0,este,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
597,Alquiler de Ático en calle Clara del Rey,Madrid,Prosperidad Madrid,chamartin,Ático,1400,70,1.0,1.0,9.0,1.0,1.0,1,1,,,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
598,Alquiler de Piso en calle del Corazón de María,Madrid,Prosperidad Madrid,chamartin,Piso,1495,65,1.0,1.0,7.0,1.0,1.0,1,1,sur,,1,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
599,Alquiler de Piso en calle Zabaleta,Madrid,Prosperidad Madrid,chamartin,Piso,2700,105,4.0,2.0,3.0,0.0,1.0,1,1,"sur, este",1940.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
600,Alquiler de Ático en Prosperidad,Madrid,Chamartín Madrid,chamartin,Ático,1600,100,3.0,1.0,6.0,1.0,1.0,1,0,,1963.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
601,Alquiler de Piso en Prosperidad,Madrid,Chamartín Madrid,chamartin,Piso,1500,52,2.0,2.0,,0.0,1.0,1,0,,1930.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
602,Alquiler de Piso en Prosperidad,Madrid,Chamartín Madrid,chamartin,Piso,1200,59,1.0,1.0,1.0,1.0,1.0,0,0,,1962.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
603,"Alquiler de Piso en calle de Luis Cabrera, 26",Madrid,Prosperidad Madrid,chamartin,Piso,975,60,2.0,1.0,1.0,1.0,,0,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
604,Alquiler de Piso en Prosperidad,Madrid,Chamartín Madrid,chamartin,Piso,1950,103,3.0,2.0,7.0,1.0,1.0,1,0,sur,1940.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
605,Alquiler de Piso en Prosperidad,Madrid,Chamartín Madrid,chamartin,Piso,2400,160,3.0,3.0,2.0,1.0,1.0,1,0,"norte, sur, este",1970.0,0,1,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
606,"Alquiler de Piso en calle de Santa María de la Alameda, 11",Madrid,Prosperidad Madrid,chamartin,Piso,1100,82,1.0,1.0,1.0,1.0,1.0,1,0,este,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
607,Alquiler de Piso en calle del Corazón de María,Madrid,Prosperidad Madrid,chamartin,Piso,1100,75,2.0,1.0,1.0,1.0,1.0,0,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
608,Alquiler de Piso en General Zabala,Madrid,Prosperidad Madrid,chamartin,Piso,1900,127,4.0,2.0,5.0,1.0,1.0,1,0,sur,1970.0,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
609,Alquiler de Estudio en calle Luis Cabrera,Madrid,Prosperidad Madrid,chamartin,Estudio,1050,40,,1.0,2.0,1.0,1.0,1,0,"norte, oeste",,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
610,Alquiler de Estudio en calle de Anastasio Aroca,Madrid,Prosperidad Madrid,chamartin,Estudio,700,33,,1.0,,1.0,1.0,1,1,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
